Nome / Razão Social;Vínculo com o RGP;Número no RGP;cidade;UF;Tipo de Pessoa
CASA ********;Indústria de pesca;AMI00036247 ;Manaus,AM,Brasil;AM;Pessoa Jurídica
CASA ********************************;Indústria de pesca;PRI00030697 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
CASA ********************************;Indústria de pesca;PRI00030811 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
CASA ********************************;Indústria de pesca;PRI00030811 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
CASA ********************************;Indústria de pesca;PRI00030811 ;Guaratuba,PR,Brasil;PR;Pessoa Jurídica
CASSIMIRO *************;Indústria de pesca;SCI00033437 ;Imaruí,SC,Brasil;SC;Pessoa Jurídica
CASTANHAL ************************************************;Indústria de pesca;PAI00043466 ;Vigia,PA,Brasil;PA;Pessoa Jurídica
CAVALO ******************************************************;Indústria de pesca, Registro de aquicultor;SCI00038727,SCR11531910 ;Palhoça,SC,Brasil;SC;Pessoa Jurídica
CAVIAR *********************************;Indústria de pesca;SCI00033969 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
CE **********************************;Indústria de pesca;CEI00034377 ;Fortaleza,CE,Brasil;CE;Pessoa Jurídica
CELM *****************;Indústria de pesca;PBI00041144 ;Alcobaça,BA,Brasil;PB;Pessoa Jurídica
CELM ***************;Indústria de pesca;PEI00041298 ;Alcobaça,BA,Brasil;PE;Pessoa Jurídica
CELM ***************;Indústria de pesca;BAI00035415 ;São José da Coroa Grande,PE,Brasil;BA;Pessoa Jurídica
Celso ******************;Indústria de pesca;RSI00000388 ;Santo Ângelo,RS,Brasil;RS;Pessoa Jurídica
CENTER *****************************************;Indústria de pesca;GOI00035491 ;Goiânia,GO,Brasil;GO;Pessoa Jurídica
CENTRAL ******************************;Indústria de pesca;API00041750 ;Oiapoque,AP,Brasil;AP;Pessoa Jurídica
CESAR **************;Indústria de pesca;BAI00024396 ;Prado,BA,Brasil;BA;Pessoa Jurídica
CFK *************************;Indústria de pesca;SCI00038209 ;Laguna,SC,Brasil;SC;Pessoa Jurídica
CHIKO *********;Indústria de pesca;AMI00036251 ;Anamã,AM,Brasil;AM;Pessoa Jurídica
Christine *****************************;Indústria de pesca;BAI00039865 ;Salvador,BA,Brasil;BA;Pessoa Jurídica
CIA **************************************************************************************;Indústria de pesca;SPI00042996 ;São Paulo,SP,Brasil;SP;Pessoa Jurídica
CIA *****************************************;Indústria de pesca;RJI00042678 ;Rio de Janeiro,RJ,Brasil;RJ;Pessoa Jurídica
CLEOMIR **************;Indústria de pesca;AMI00040858 ;Tapauá,AM,Brasil;AM;Pessoa Jurídica
CLEONICE ************;Indústria de pesca;AMI00036201 ;Fonte Boa,AM,Brasil;AM;Pessoa Jurídica
CLEONICE ************;Indústria de pesca;AMI00036201 ;Fonte Boa,AM,Brasil;AM;Pessoa Jurídica
CMS ********************************;Indústria de pesca;PAI00032109 ;Belém,PA,Brasil;PA;Pessoa Jurídica
CMS *****************************************;Indústria de pesca, Proprietário de embarcação;PAI00039097 ;Belém,PA,Brasil;PA;Pessoa Jurídica
C *******************;Indústria de pesca;PAI00033635 ;Belém,PA,Brasil;PA;Pessoa Jurídica
COCARI ***************************************;Indústria de pesca;PRI00043264 ;Alvorada do Sul,PR,Brasil;PR;Pessoa Jurídica
Comercial ******************;Indústria de pesca;RJI00036367 ;Duque de Caxias,RJ,Brasil;RJ;Pessoa Jurídica
Comercial ****************;Indústria de pesca;RJI00035619 ;Duque de Caxias,RJ,Brasil;RJ;Pessoa Jurídica
COMÉRCIO ************************;Indústria de pesca;SCI00037627 ;Tijucas,SC,Brasil;SC;Pessoa Jurídica
COMÉRCIO ***********************************************;Indústria de pesca;SPI00003300 ;Santos,SP,Brasil;SP;Pessoa Jurídica
COMÉRCIO *************************************;Indústria de pesca;SCI00031805 ;Palhoça,SC,Brasil;SC;Pessoa Jurídica
Comercio *************************************;Indústria de pesca, Proprietário de embarcação;SCI00002644 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
Comercio *************************************;Indústria de pesca, Proprietário de embarcação;SCI00002644 ;Itajaí,SC,Brasil;SC;Pessoa Jurídica
COMERCIO ********************************************;Indústria de pesca;MGI00022920 ;Ubaporanga,MG,Brasil;MG;Pessoa Jurídica
Companhia **************************;Indústria de pesca;RJI00035169 ;São João de Meriti,RJ,Brasil;RJ;Pessoa Jurídica
COMPANHIA **************************;Indústria de pesca;SPI00031997 ;Osasco,SP,Brasil;SP;Pessoa Jurídica
COMPANHIA **************************;Indústria de pesca;SPI00031997 ;Osasco,SP,Brasil;SP;Pessoa Jurídica
